,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scarping_date
230,Data Analyst,Quickxpert Infotech,0-5 Yrs,Not disclosed,"Kolkata, Indore, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", We have immediate openings for Data Analyst Trainees for our clients. Interested candid...,SQL,dbms training c c++ analysis data analysis data,14 Days Ago,2023-03-07
231,Principal Consultant - Life Sciences Analytics,Fractal Protocol,5-10 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru", Experience in leading business discovery sessions to understand and map the existing an...,management,consulting life sciences program management analytics oncology operations design,10 Days Ago,2023-03-07
232,Data Analyst - Pharma/HLS Domain,Fractal Protocol,4-9 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru", Experience in Pharma Commercial analytics is a must with overall 4-9 years of experienc...,hl,pharmaceutical data governance data analysis modeling project delivery digital marketing project,11 Days Ago,2023-03-07
233,Power BI Professional,Capgemini,6-11 Yrs,Not disclosed,"Mumbai, Pune, Chennai, Bangalore/Bengaluru"," Experience in creating dashboards, volume reports, operating summaries, and presentatio...",Power BI,sql integration dax msbi microsoft power bi desktop data,14 Days Ago,2023-03-07
234,AVP - Risk Regulatory Model Development,Citicorp Finance,7-10 Yrs,25-40 Lacs PA,"Hybrid - Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)"," Perform all required tests (e.gQualifications: Advanced Degree (Bachelors required, Mas...",climate risk,Python modeling management ccar credit risk model development,11 Days Ago,2023-03-07
235,Analytics and Modeling Analyst,Accenture,3-4 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," Education - Bachelors / Masters in Statistics, Mathematics, Analytics or related discip...",Business process,Consulting Market research Outsourcing Secondary research advanced analytics execution modeling,21 Days Ago,2023-03-07
236,"Senior Business Analyst, Salesforce",Salesforce,3-7 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Jaipur, Bangalore/Bengaluru", . . . Collaborating with SFI s product and design teams to understand the standard meth...,salesforce,logistics crm software testing test scripts process automation business process,30+ Days Ago,2023-03-07
237,Data Analyst - Pharma/hls Domain (4-9 Years),Fractal Analytics,10-20 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Its fun to work in a company where people truly BELIEVE in what they are doing!Were com...,data,pharmaceutical hl data analysis dns hls Decision Scientist,17 Days Ago,2023-03-07
238,Data Scientist_nlp_3-9 Years,Fractal Analytics,10-20 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru"," SQLExperience in NLP tools like Genism, spacy, Stanford NLPMust have excellent project ...",Data Scientist,,18 Days Ago,2023-03-07
239,AI Engineer_mlops_3 To 10 Years,Fractal Analytics,10-20 Yrs,Not disclosed,"Mumbai, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru", Experience developing CI / CD components for production ready ML pipeline,artificial intelligence,AI Engineer,18 Days Ago,2023-03-07
240,Data Governance_MDM,Fractal Analytics,6-11 Yrs,Not disclosed,"Hybrid - Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"," Experience in Consulting, Architecting and implementing Data Governance and MDM program...",MDM,Data Governance informatica tools quality informatica tool data quality governance,17 Days Ago,2023-03-07
0,Mobile Application Developer (Android/IOS Apps),Alpha Net Consulting,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru", Experience in Migration from EBS to Oracle CloudMust have done at least two implementat...,IOS,management application configuration management android development scm io,7 Days Ago,2023-03-07
1,Application Developer: Mobile Android,IBM,3-7 Yrs,Not disclosed,Bangalore/Bengaluru, . . . Envision how people experience products and bring that vision to life in a way th...,Performance tuning,Agile Application development Open source Android performance software testing sensor,6 Days Ago,2023-03-07
2,Application Developer: Mobile Android,IBM,3-8 Yrs,Not disclosed,Bangalore/Bengaluru, . . . . . . . Envision how people experience products and bring that vision to life in ...,Performance tuning,Agile Application development Open source Android application source integration testing,4 Days Ago,2023-03-07
3,Application Developer: Mobile Android,IBM,3-8 Yrs,Not disclosed,Hyderabad/Secunderabad, . . . . . . . Envision how people experience products and bring that vision to life in ...,Performance tuning,Agile Application development Open source Android application android application development open,4 Days Ago,2023-03-07
4,Application Developer: Mobile iOS,IBM,3-7 Yrs,Not disclosed,Pune, . . . . . . . Envision how people experience products and bring that vision to life in ...,Debugging,Integration testing Agile Application development Unit testing software testing programming ios development,10 Days Ago,2023-03-07
5,Polycab India - Mobile Developer - Bangalore - Flutter Application,Polycab,2-7 Yrs,Not disclosed,Bangalore/Bengaluru, Hands on experience with testing and deployment of appsGood to have experience in publi...,flutter,application mobile development mobile application development mobile applications development,1 Day Ago,2023-03-07
6,iOS Developer - Mobile Application Development,Riconz Technologies,4-6 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru", We looking for iOS Application Developer with good experience. . Time to Join : Immedia...,iOS,design testing frameworks mobile applications software testing mobile app unit architecture,5 Days Ago,2023-03-07
7,Application Developer: Mobile iOS,IBM,2-5 Yrs,Not disclosed,Bangalore/Bengaluru, . . . . . . . . . Envision how people experience products and bring that vision to life...,C++,Memory management Debugging Application development IOS iphone application ios development,4 Days Ago,2023-03-07
8,Bluetooth Android Mobile Application Developer,Scorg International,5-10 Yrs,12-22 Lacs PA,"Visakhapatnam, Hyderabad/Secunderabad, Bangalore/Bengaluru"," Requirements: . . Having experience in system study, design, development and implementa...",Bluetooth,qr code application mobile development android studio google+ android application development coding,6 Days Ago,2023-03-07
9,Android Developer - Native Mobile Applications,FresherMart,3-6 Yrs,Not disclosed,Bangalore/Bengaluru, - Design and build advanced applications for the Android platform- Collaborate with cro...,Android,react.js push notification native sdk studio application optimization,5 Days Ago,2023-03-07
10,"Job | Mobile Application Developer(Android,IOS)",Nlite Informatics And Staffing,2-6 Yrs,1-4 Lacs PA,Visakhapatnam, Qualifications: Bachelors degreeResponsibilities: Should Have strong Domain KnowledgeGo...,Mobile Application Development,android iphone mobile development mobile applications application development android application development ios development,3 Days Ago,2023-03-07
11,Senior iPhone Application Developer & Mobile Application Developer,Addis Infotech,2-3 Yrs,Not disclosed,Ahmedabad, You must be a person that is able to hop from task to task quickly and be willing to ta...,Xcode,senior ios development management mobile application design io application development,5 Days Ago,2023-03-07
12,Senior iOS Mobile Application Developer - Objective C/SWIFT,Addis Infotech,4-5 Yrs,Not disclosed,Ahmedabad, . Addis InfoTech is looking to hire 4-5 years experience IOS developer who has already ...,HR Consulting,HR Analytics c senior consulting mobile development ios development application,5 Days Ago,2023-03-07
13,Senior React Native Mobile Application Developer - iOS Platform,Addis Infotech,4-5 Yrs,Not disclosed,Ahmedabad, Addisinfotech is looking to hire 4-5 years experience IOS developer who has already sub...,C#,.Net Core Xamarin .Net WPF react.js sdlc iphone,5 Days Ago,2023-03-07
14,Android Mobile Application Developer,Tech Mahindra,4-6 Yrs,Not disclosed,"Hybrid - Noida, Chandigarh, Pune", Should be work as a Android application mobile developer. . . . Desired Candidate Profi...,Java,Android Mobile Application Development Kotlin android mobile development mobile applications studio application development,28 Days Ago,2023-03-07
15,Senior Android Mobile Application Developer,Sciflare Technologies,2-6 Yrs,4-9 Lacs PA,Chennai(Karapakkam)," Skill Set: Android, Java, Kotlin, Restful APIs, MVVM, GIT, DataBinding, UI Frameworks, ...",Android Application Development,java Android Studio XCode Kotlin SQLite Flutter Android,5 Days Ago,2023-03-07
16,Application Developer: Mobile,IBM,2-5 Yrs,Not disclosed,Bangalore/Bengaluru," Restlessly reinventing since 1911, we are not only one of the largest corporate organiz...",Agile,Application development Sensors Open source Android software testing unit testing source,12 Days Ago,2023-03-07
17,Application Developer: SAP NextGen UX & Mobile,IBM,6-8 Yrs,Not disclosed,Bangalore/Bengaluru, Required Technical and Professional Expertise. . . . . . 6+ years of experience require...,SAP,ABAP Android Javascript SyBase application html blackberry,14 Days Ago,2023-03-07
18,Application Developer: SAP NextGen UX & Mobile,IBM,6-10 Yrs,Not disclosed,Bangalore/Bengaluru, Required Technical and Professional Expertise. . . . . . 6+ years of experience require...,SAP,Javascript SyBase ABAP Android mobile applications enterprise mobility css,14 Days Ago,2023-03-07
19,Application Developer: SAP NextGen UX & Mobile,IBM,12-14 Yrs,Not disclosed,Kolkata, Required Technical and Professional Expertise 12 years of experience requiredPreferred ...,SAP,android application programming mobile applications microsoft windows enterprise mobility enterprise blackberry,6 Days Ago,2023-03-07
20,Automation Test Engineer,Wipro,5-8 Yrs,Not disclosed,"Pune, Chennai, Coimbatore", - Selenium Automation - Experience Level- 5 to 8+ years of ExperienceExperience in Test...,java,cucumber selenium webdriver automation testing automation software testing webdriver selenium,1 Day Ago,2023-03-07
21,Manual Test Engineers / Automation Test Engineers.,Spyguard Security Services,0-5 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)"," Testing experience for Android iOS mobile applications Experience in JIRA, any test man...",manual testing,Functional Testing Automation Testing regression testing application testng framework automation regression,7 Days Ago,2023-03-07
22,Infrastructure Service Management Test Automation Engineer,Accenture,4-6 Yrs,Not disclosed,Pune, Educational Qualification : Graduate or above Technical Experience : Experience in Inci...,Service management,Automation Automation testing orchestration Consulting management quality engineering servicing,1 Day Ago,2023-03-07
23,Urgent Opening For Cypress Automation Test Engineer For Pune,Randstad India,5-8 Yrs,Not disclosed,Temp. WFH - Pune, Well versed with GIT repositoryBasic networking knowledge is requiredExperience: 5yrs -...,java scripting,automation framework Restful API selenium Cypress automation api automation software testing,1 Day Ago,2023-03-07
24,IndiaNIC - Automation Test Engineer - Software Quality Assurance,Indianic Infotech Limited,5-10 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru"," - Senior level test skills including requirement gathering, test planning and test scen...",Automation Testing,software quality assurance t-sql automation software quality data software testing assurance,6 Days Ago,2023-03-07
25,Worksoft Certify Test Automation Engineer,Accenture,6-8 Yrs,Not disclosed,Bangalore/Bengaluru, Educational Qualification : a: Minimum 15 years of full time education Key Responsibili...,Automation testing,Test scripts Consulting worksoft certify Salesforce software testing quality r3,1 Day Ago,2023-03-07
26,Automation Test Engineer | Bangalore | WFO,Conduent,5-10 Yrs,Not disclosed,Bangalore/Bengaluru, Experience working on Containerized Application Cloud ( Kubernetes / Docker ) atleast 1...,Java,Automation Testing Selenium software testing execution test execution automation wfo,1 Day Ago,2023-03-07
27,Lead Software Development Engineer - Test - Automation Testing,Provansa It Solutions,8-12 Yrs,Not disclosed,"Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Ahmedabad, Delhi / NCR, Bangalore/Bengaluru", - 4-7 years of experience in Automation testing.- Passionate about QA and breaking soft...,Automation Testing,security testing quality assurance automation ui ux testing software development ui security,6 Days Ago,2023-03-07
28,SDET - Senior Automation Testing Engineer,Anlage Infotech,4-9 Yrs,Not disclosed,"Hybrid - Bangalore/Bengaluru, Delhi / NCR", Framework Development from scratch . . Proficiency in designing and developing Test Scr...,Java,automation testing Selenium Webdriver Selenium senior software testing webdriver automation,1 Day Ago,2023-03-07
29,Senior Software Test Automation Engineer,Wolters Kluwer,5-8 Yrs,Not disclosed,"Mumbai, Pune", Minimum Bachelor s degree in computer science or equivalent from an accredited universi...,rdbms,debugging scrum performance automation analysis automation testing information technology,5 Days Ago,2023-03-07
30,Pega Automation Test Engineer,Cognizant,3-8 Yrs,Not disclosed,"Temp. WFH - Kolkata, Pune, Chennai, Bangalore/Bengaluru", Project Experience in Pega Testing Experience in Automation Testing using Selenium Tool,Pega Testing,Automation Testing automation software testing pega,10 Days Ago,2023-03-07
31,Quality Assurance Test Automation Engineer,Verizon,4-7 Yrs,Not disclosed,Chennai," Working on desktop and mobile applications in all platforms like Web/Android/iOS/Cloud,...",android,software testing management debugging functional coding quality maven,2 Days Ago,2023-03-07
32,Automation & Manual Test Engineer,URS Systems,4-9 Yrs,Not disclosed,"Hybrid - Kolkata, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR", Employment Mode : Permanent with URS Systems and deputed to Reputed Client 5+years Tele...,catalog management,LINUX manual testing IBM Netcool UNIX functional automation jira,6 Days Ago,2023-03-07
33,Software Test Engineer - Automation Testing,Siemens,2-4 Yrs,Not disclosed,Pune, . An engineering degree BE / BTech/MCA / MTech/MSc or Any equivalent degree(Full Time) ...,unix,software testing linux html networking automation automation testing c++,12 Days Ago,2023-03-07
34,Sr. Automation Test Engineer,Vertiv Co,4-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Science Degree in Computer Science or a related field (4 year college) . . ...,management,software testing microsoft agile sql javascript git automation,9 Days Ago,2023-03-07
35,Sr. Automation Test Engineer,Vertiv Co,6-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru", Bachelor of Science Degree in Computer Science or a related field (4 year college) . . ...,software testing,computer computer science sql server query management automation automation testing,9 Days Ago,2023-03-07
36,Automation Test Engineer,Genpact,5-7 Yrs,10-18 Lacs PA,Hyderabad/Secunderabad, Roles and Responsibilities:Create automation plan / strategies and focus on automated p...,software testing,Selenium Java zephyr automation javas javascript coding java code,1 Day Ago,2023-03-07
37,Quality Assurance Test Automation Engineer,Verizon,4-7 Yrs,Not disclosed,Hyderabad/Secunderabad," Working on desktop and mobile applications in all platforms like Web/Android/iOS/Cloud,...",android,software testing management debugging functional coding quality maven,2 Days Ago,2023-03-07
38,Automation Test Engineer,Techwish Gts,4-6 Yrs,20-22.5 Lacs PA,"Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)"," experience of automation testing using Selenium, BDD Cucumber using Java for web applic...",Cucumber,bdd automation software testing automation testing drives testing tester,4 Days Ago,2023-03-07
39,Software Test Engineer (Manual / Automation) - Capital Markets Exp. x6,Spectrum Consulting - London,5-10 Yrs,10-20 Lacs PA,"Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)", =. . You must be top skilled in Test automation / Manual Test engineer with QA / SIT / ...,SQL SERVER,t-sql mxml quality assurance automation intelligence test cases sql,8 Days Ago,2023-03-07
40,Senior Engineer II SW - Linux System Programming in C++,Harman Connected Services Corporation India Pvt.,5-9 Yrs,Not disclosed,Pune," Understand the requirements, design, develop and debug system SW in the field of automo...",programming in c,program linux linux system programming application team electronics management,3 Days Ago,2023-03-07
41,Senior Software Developer - JAVA,Siemens,0-8 Yrs,Not disclosed,Bangalore/Bengaluru," Participate in requirement discussionsThe candidate should be able to design, develop, ...",boot,scrum uml senior consulting java object life cycle,4 Days Ago,2023-03-07
42,"Senior Engineer - Systems Programming C, C++",Unisys,5-8 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru", Should have led the end-to-end implementation of a new feature or a major change in a S...,unix,debugging c program c++ vpn system programming networking,30+ Days Ago,2023-03-07
43,Senior Engineer System Programming C/C,Unisys,6-8 Yrs,Not disclosed,Bangalore/Bengaluru, Leader of small team/mentor Self-directed within management guidelines May give directi...,software testing,diagnostics socket programming senior sockets technology programming c++,30+ Days Ago,2023-03-07
44,"Senior Engineer - Systems Programming C, C",Unisys,5-8 Yrs,Not disclosed,Bangalore/Bengaluru, Should have led the end-to-end implementation of a new feature or a major change in a S...,coding,system engineering data structures data firewall programming microsoft windows debugging,30+ Days Ago,2023-03-07
45,Senior Engineer - System Programming C/C,Unisys,4-7 Yrs,Not disclosed,Bangalore/Bengaluru, Leader of small team/mentor. Self-directed within management guidelines. May give direc...,product development,assembly program test cases sockets information technology software development system programming,30+ Days Ago,2023-03-07
46,Senior Engineer I SW - Linux System Programming in C,Harman Connected Services Corporation India Pvt.,7-8 Yrs,Not disclosed,Pune," Understand the requirements, design, develop and debug system SW in the field of automo...",c,linux system programming application development development team programming sw automotive,30+ Days Ago,2023-03-07
47,Software Engineer/ .Net Developer,Laxmi Infotech,0-5 Yrs,3-8 Lacs PA,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", • The ideal candidate will be responsible for the software development of products and ...,Java,fresher .net PHP software engineer software development javas css,2 Days Ago,2023-03-07
48,Software Developer -Linux; System Programming; C,iT People Corporation,3-6 Yrs,Not disclosed,Hyderabad/Secunderabad, Strong experience required in Linux programming Strong experience required in systems e...,c,devops network architecture programming ip software development software architecture,30+ Days Ago,2023-03-07
49,Curam Developer - System Programming,Career Infosystem,3-8 Yrs,Not disclosed,Bangalore/Bengaluru, Roles and ResponsibilitiesDescription :- The client requires 2 junior level technical d...,Oracle DB,websphere system analysis curam programming xml oracle dba oracle,11 Days Ago,2023-03-07
50,Software Developer,M/S Employee For You,0-5 Yrs,2.25-3.25 Lacs PA,"Chandigarh, Pune, Bangalore/Bengaluru", US Medical Billing process Must be fluent in English Must be able to read English and c...,Communication Skills,software development international process voice non voice process voice process international presentation skills,9 Days Ago,2023-03-07
51,"Software Trainee, Software Developer, Software Tester",Quickxpert Infotech,0-4 Yrs,Not disclosed,"Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Our Client MarriageOnix is looking for Software Engineers in multiple technologies. Int...,c++,software testing HTML SQL java training css development,2 Days Ago,2023-03-07
52,Software Developer Automation,THERMAX,0-4 Yrs,Not disclosed,Pune, Customization of CAD Packages using Application Programming interface API. . Proficient...,VB.Net,VBA 3D Modeling software development cad solid works modeling automation,1 Day Ago,2023-03-07
53,Principal Engineer I SW - Linux System Programming in C++,Harman Connected Services Corporation India Pvt.,7-11 Yrs,Not disclosed,Pune," Understand the requirements, design, develop and debug system SW in the field of automo...",android,automotive electronics management linux system programming programming in c system architecture project management,10 Days Ago,2023-03-07
54,Opening For Senior Java Developer / Senior Software Engineers,Argano Software,6-9 Yrs,12-22 Lacs PA,"Hybrid - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR", Ensure progression and escalate as required Requirements: Three (3)+ years of experienc...,D365,Dynamics 365 java microsoft dynamics ax microsoft dynamics dynamic senior,4 Days Ago,2023-03-07
55,Software Developer - ADAS/AD,Cyient,6-8 Yrs,Not disclosed,"Visakhapatnam, Warangal, Hyderabad/Secunderabad, Kakinada, Chennai, Coimbatore, Noida, Mumbai, New Delhi, Pune, Mysore/Mysuru, Ahmedabad, Gurgaon/Gurugram, Bangalore/Bengaluru", 6 to 8 years of experience in development of software product requirement analysis to m...,c,embedded systems matlab python linux advertising software software development,30+ Days Ago,2023-03-07
56,Senior Software Engineer (Strong Core Java + Big Data Developer),Nuance India,5-8 Yrs,Not disclosed,Pune," Education: Bachelors in Computer Science or Software Engineering, or equivalent work ex...",Core Java,data microsoft azure java+ multithreading docker python scrum,21 Days Ago,2023-03-07
57,Senior Software Engineer (Java Developer),AgreeYa Solutions,5-9 Yrs,Not disclosed,Pune, ESSENTIAL DUTIES AND RESPONSIBILITIES . . Design and develop new software by applying t...,sql,java development oracle jsp mysql xml hibernate j2ee,30+ Days Ago,2023-03-07
58,Software Developer - Pune(Looking For Freshers-Be/B.tech ),HARMAN,0-2 Yrs,3-8 Lacs PA,Hybrid - Pune," Profile/Designation: Software Developer Roles and Responsibilities As a developer, you'...",java,jquery javas cse json sas engineering computer,3 Days Ago,2023-03-07
59,Senior Developer /Developer,Calsoft,3-10 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru", 3 to 10 years of good experience in C/C System Programming experience is mandatory Expe...,unix,linux programming management socket programming networking system network management,30+ Days Ago,2023-03-07
60,Senior Engineer / Assistant Manager - Electrical Maintenance,Freelance Recruiter,5-7 Yrs,Not disclosed,India, Roles and Responsibilities . . - Managing shift electrical maintenance functions involv...,Electrical Maintenance,assistance electrical engineering electricals precision copper senior rolling mill,2 Days Ago,2023-03-07
61,Engineer / Section Engineer - Maintenance (Electrical),Sona Blw Precision Forgings,3-4 Yrs,3-4 Lacs PA,Pune, Reduce down time of machine and ensure for maximum Availability of machines for Desired...,CNC Maintenance,VMC Spm Machine PLC programming grinding sensor hobbing hydraulics,6 Days Ago,2023-03-07
62,Electrical Maintenance Engineer,Turtlemint,2-5 Yrs,Not disclosed,Pune, - Diploma or BE in Electrical with 2 to 5 yrs experience in electrical maintenance of p...,electricals,maintenance breakdown electrical maintenance breakdown maintenance,5 Days Ago,2023-03-07
63,Hiring Electrical Technician -Maintenance,Sodexo,0-3 Yrs,Not disclosed,Chennai," Experience: 0 -2 years . . Qualification: ITI, Diploma .",electrical maintenance,hiring maintenance electricals technician activities,4 Days Ago,2023-03-07
64,Electrical Maintenance Executive,Dainik Bhaskar Group,3-8 Yrs,Not disclosed,Ahmedabad," Understand and read Electrical, Mechanical , Pneumatic, Hydraulic Drawing & make new el...",electrical maintenance,PLC preventive maintenance maintenance breakdown electricals preventive breakdown maintenance,2 Days Ago,2023-03-07
65,Plant Utility Maintenance Engineer - Pune,Mavenhasten Consulting,3-8 Yrs,5-9 Lacs PA,Pune, Urgent opening for Plant Utility Maintenance Engineer (Electrical / Electronics/Mechatr...,Utility Maintenance,maintenance utility facilities plant maintenance engineering facility maintenance mechatronics,6 Days Ago,2023-03-07
66,Maintenance Engineer - Electrical,SV Management Consultants,2-5 Yrs,Not disclosed,Pune, Roles and Responsibilities Hands on exposure in maintenance of Hydraulic / Pneumatic Pr...,Hydraulics,maintenance engineering press shop electrical engineering Pneumatics electrical maintenance fanuc engineering,14 Days Ago,2023-03-07
67,Engineer - Maintenance,Shell Pvt Ltd,3-7 Yrs,Not disclosed,Chennai, This role of Sr. Process Data Engineer is for Mechanical Work Preparation/Work Packs in...,engineering,refinery instrumentation instruments maintenance supply chain exchange server assurance,3 Days Ago,2023-03-07
68,Sr. Engineer/ Asst. Manager- (Maintenance),Consult Shekhar Pandey,4-9 Yrs,7-9 Lacs PA,"Ghaziabad, Delhi / NCR", Ensure compliance with Safety and processes and to aim at Zero accidents. . To ensure t...,Plant Maintenance,Machine Maintenance utility assistance electricals breakdown maintenance predictive boiler,6 Days Ago,2023-03-07
69,Junior Electrical Maintenance Engineer,San Institute Of Facility Management,0-3 Yrs,1.75-2.25 Lacs PA,"Chengalpattu, Chennai, Kanchipuram"," Operation and maintenance of transformer , dg and ups. Daily check in transformers Main...",Electrical Maintenance,maintenance electricals power plant substation electrical engineering plant dg,1 Day Ago,2023-03-07
70,Engineer - Maintenance,Shell,5-10 Yrs,Not disclosed,Chennai," The new SEAM organization integrates Safety, Environment & Asset Management activities,...",maintenance engineering,management electricals corrective maintenance engineering maintenance management continuous integration preventive maintenance,1 Day Ago,2023-03-07
71,Junior Maintenance Engineer,Double Hr Consultancy,2-3 Yrs,Not disclosed,Palghar, Diploma / BE/B Tech in Instrumentation Engineering Minimum 2 Years in Pharmaceutical .,training,engineering healthcare production engineering automation preventive maintenance pharmaceutical instruments,1 Day Ago,2023-03-07
72,Maintenance Engineer,Double Hr Consultancy,2-3 Yrs,Not disclosed,Palghar, Diploma / BE/B Tech in Instrumentation Engineering Minimum 2 Years in Pharmaceutical .,production,preventive maintenance breakdown programming training production engineering instrumentation engineering engineering,1 Day Ago,2023-03-07
73,Opening For Service Technician  /Maintenance Engg./Service Engg.,Electronic & Engineering Co. (i),1-2 Yrs,Not disclosed,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)"," Candidate should be willing to travel / Field work. Diploma Electrical, or experience /...",field work,servicing maintenance engineering repair electrical maintenance troubleshooting electricals commissioning,1 Day Ago,2023-03-07
74,Opening For Service Technician/Service Engineer/Maintenance Engineer,Electronic & Engineering Co. (i),1-2 Yrs,Not disclosed,"Mumbai Suburban, Navi Mumbai, Mumbai (All Areas)", Candidate should be willing to travel / Field WorkCandidate should have a experience in...,Field Service,field commissioning servicing service engineering compensation engineering troubleshooting,1 Day Ago,2023-03-07
75,Maintenance Engineer,Forward Precision Engineers,5-6 Yrs,2-6 Lacs PA,Mumbai (All Areas), Should have a good knowledge of QMS / EMSShould possess good written and verbalGood wor...,Maintenance Engineer,ems plant maintenance safety management total productive maintenance monitoring etp operation tpm activities,1 Day Ago,2023-03-07
76,Maintenance Engineer,Shreno Engineering Limited,3-8 Yrs,Not disclosed,Vadodara, To make sure compliance requirement are met and maintenance of ISO documentationEnsurin...,Maintenance,plant fabrication iso maintenance engineering equipment Plant Equipments,1 Day Ago,2023-03-07
77,Assistant Manager - Electrical / Electronics Maintenance,SV Management Consultants,4-8 Yrs,2-5 Lacs PA,Indore," Hands on experience on PLC Hmi Software, Timely completeing the breakdown in transmissi...",Mitsubishi Plc,PLC Siemens PLC siemens Fanuc s7-300 drives electronics,Few Hours Ago,2023-03-07
78,AM/DM (Mechanical Maintenance Engineer -Coal Preparation Plant),Jindal Power (JPL),5-10 Yrs,Not disclosed,Tamnar, Desired Candidate Profile . . . . BE / BTech in Mechanical Engineering with 5-10 Years ...,mechanical maintenance,dm mechanical maintenance coal plant ams mechanical engineering,13 Days Ago,2023-03-07
79,Junior Engineer maintenance,TVS Staffing Solutions,2-3 Yrs,3-4.5 Lacs PA,Sri City, . Desired Candidate Profile . . . . . . B Tech / BE Mechanical . . . Ideally would requ...,Breakdown Maintenance,Maintenance Department Machine Maintenance troubleshooting Mechanical Maintenance maintenance analysis machine,1 Day Ago,2023-03-07
0,Group Leader Information Technology,PTC Software India,4-7 Yrs,Not disclosed,Pune, People Management: Set performance goals and perform performance reviews/appraisals Ide...,IT Skills,Java Software Development DevOps Javascript Technical management Change management Agile,30+ Days Ago,2023-03-07
1,Software Developer / Information Technology,Dow,3-5 Yrs,Not disclosed,Mumbai," Experience with frontend web libraries / frameworks: Bootstrap, Angular (JavaScript / T...",entity,sql information technology science software development issue framework asp.net,30+ Days Ago,2023-03-07
2,Software Development Engineer - P1,Fortinet,0-2 Yrs,Not disclosed,Pune, The FortiSOAR RD team is looking for a Software Development Engineer to help improve an...,cyber security,data troubleshooting technology management cyber soc information technology,30+ Days Ago,2023-03-07
3,IT / Software Engineer Trainee,Club Mahindra,0-0 Yrs,Not disclosed,"Pune, Chennai"," Should have demonstrable working experience (College projects, internship, passion proj...",MVC,training software development web technologies web development software capacity development,2 Days Ago,2023-03-07
4,Information Technology Technician,"International Cruise & Excursions, Inc.",2-7 Yrs,Not disclosed,Mumbai," Mange high priority work and deadlines, shift priority when management requires, accept...",management,microsoft windows microsoft asset active directory incident it asset management technology,30+ Days Ago,2023-03-07
5,Information Technology Professional,SRS Infoway,5-15 Yrs,Not disclosed,Hyderabad/Secunderabad, Experience: At least 5 to 15 years of Information Technology experience (multiple roles...,DNS,GKE Networking Unix GKE NAT Written GCP Cloud CDN,30+ Days Ago,2023-03-07
6,Information Technology Technician,Arrivia,2-4 Yrs,Not disclosed,Mumbai," Mange high priority work and deadlines, shift priority when management requires, accept...",audio,it asset management technology audio visual customer service asset management microsoft windows,30+ Days Ago,2023-03-07
7,Software Developer Intern - Information Technology,Emkay,1-3 Yrs,Not disclosed,Mumbai (All Areas)," HTML 5, CSS3, JavaScript, JQuery, JSON, XML, Web Services, Ajax MS-SQL Should be famili...",C#,Javascript software web services jquery telerik technology mysql,17 Days Ago,2023-03-07
